iter	Passed	Remaining
424	2946	519
425	2953	512
426	2959	506
427	2966	499
428	2972	491
429	2979	484
430	2985	477
431	2992	471
432	2999	464
433	3005	457
434	3012	450
435	3019	443
436	3025	436
437	3030	428
438	3037	422
439	3044	415
440	3051	408
441	3057	401
442	3063	394
443	3071	387
444	3078	380
445	3085	373
446	3091	366
447	3098	359
448	3105	352
449	3112	345
450	3117	338
451	3124	331
452	3130	324
453	3136	317
454	3143	310
455	3150	304
456	3159	297
457	3166	290
458	3173	283
459	3180	276
460	3185	269
461	3194	262
462	3201	255
463	3207	248
464	3213	241
465	3220	235
466	3226	228
467	3234	221
468	3241	214
469	3248	207
470	3255	200
471	3262	193
472	3270	186
473	3276	179
474	3283	172
475	3289	165
476	3296	158
477	3303	152
478	3309	145
479	3316	138
480	3323	131
481	3329	124
482	3336	117
483	3342	110
484	3348	103
485	3354	96
486	3362	89
487	3369	82
488	3375	75
489	3383	69
490	3390	62
491	3396	55
492	3403	48
493	3409	41
494	3416	34
495	3422	27
496	3428	20
497	3433	13
498	3441	6
499	3449	0
