iter	RMSE
249	30645.93825
250	30594.90921
251	30585.16955
252	30563.26555
253	30543.67406
254	30519.69588
255	30474.90576
256	30455.38298
257	30428.96289
258	30393.69408
259	30378.53392
260	30368.24616
261	30336.75804
262	30282.52741
263	30257.32726
264	30236.07694
265	30214.28593
266	30199.31347
267	30149.91546
268	30121.43364
269	30095.87469
270	30085.95315
271	30053.8477
272	30009.35543
273	29988.20341
274	29945.18584
275	29926.76729
276	29898.65927
277	29884.35835
278	29863.20228
279	29848.76356
280	29799.12154
281	29779.40973
282	29755.18728
283	29742.25649
284	29730.27141
285	29714.78807
286	29696.35406
287	29682.16514
288	29652.5874
289	29627.61108
290	29602.79031
291	29586.98887
292	29562.72896
293	29544.51231
294	29530.73903
295	29511.23496
296	29499.43252
297	29491.14531
298	29460.51631
299	29447.77177
300	29422.57466
301	29403.12605
302	29391.31241
303	29369.8226
304	29333.83599
305	29308.79269
306	29290.9089
307	29282.95172
308	29257.2927
309	29230.22306
310	29179.64024
311	29153.0181
312	29113.68939
313	29090.71961
314	29057.07698
315	29032.34712
316	29017.22565
317	28980.74737
318	28965.14784
319	28905.10069
320	28889.21686
321	28870.33035
322	28827.35349
323	28812.59797
324	28759.64335
325	28752.91838
326	28739.48613
327	28722.68573
328	28702.63299
329	28677.97677
330	28669.12319
331	28648.89049
332	28637.53636
333	28614.748
334	28599.6088
335	28583.01039
336	28546.40733
337	28537.27292
338	28528.58461
339	28517.42391
340	28504.07965
341	28486.56783
342	28468.89197
343	28439.70307
344	28418.36166
345	28396.09059
346	28386.8034
347	28358.68317
348	28337.13734
349	28318.95277
350	28310.27153
351	28290.8125
352	28281.90918
353	28266.91022
354	28240.45587
355	28214.24206
356	28193.71542
357	28170.30963
358	28156.30709
359	28146.40034
360	28123.72612
361	28103.41269
362	28082.75578
363	28071.4342
364	28057.83653
365	28031.88994
366	28006.52357
367	28000.6684
368	27983.81207
369	27971.53701
370	27954.64601
371	27942.60044
372	27923.43834
373	27913.70872
374	27902.1893
375	27892.94175
376	27875.65695
377	27850.58338
378	27831.39415
379	27809.04417
380	27800.97098
381	27794.78448
382	27773.51634
383	27763.90608
384	27747.06261
385	27732.34343
386	27721.67616
387	27717.06266
388	27688.57994
389	27670.59587
390	27656.46971
391	27641.81303
392	27622.62478
393	27602.78777
394	27595.03642
395	27588.49945
396	27582.04369
397	27555.36135
398	27542.30934
399	27523.58166
400	27507.48664
401	27489.69981
402	27479.25859
403	27466.38559
404	27458.62578
405	27446.13414
406	27431.72225
407	27414.15713
408	27398.83121
409	27365.66604
410	27332.35333
411	27317.13609
412	27278.98342
413	27246.77964
414	27222.64907
415	27204.13377
416	27187.2177
417	27164.23808
418	27152.10239
419	27138.40336
420	27125.65607
421	27109.66472
422	27101.37199
423	27086.05611
424	27067.55669
425	27054.73142
426	27020.21547
427	27010.20387
428	26999.6074
429	26989.22901
430	26978.49488
431	26965.41116
432	26947.36715
433	26925.12946
434	26910.29924
435	26899.8507
436	26881.39396
437	26868.57641
438	26852.73897
439	26823.56154
440	26803.16137
441	26785.51213
442	26775.71231
443	26757.98325
444	26748.65938
445	26740.47178
446	26719.91828
447	26711.0131
448	26700.71109
449	26684.36141
450	26667.32832
451	26660.24944
452	26646.66195
453	26624.80493
454	26617.57457
455	26599.4601
456	26591.50886
457	26577.17401
458	26538.97844
459	26531.64785
460	26499.86809
461	26492.50701
462	26462.88244
463	26454.57518
464	26444.78312
465	26439.51943
466	26426.86331
467	26413.34965
468	26400.14861
469	26387.71814
470	26373.40083
471	26352.13553
472	26348.53296
473	26337.45222
474	26330.37117
475	26311.86494
476	26286.44935
477	26277.71691
478	26262.52995
479	26248.04204
480	26242.99345
481	26228.23357
482	26214.92807
483	26200.54523
484	26186.28201
485	26168.44902
486	26157.98904
487	26139.76946
488	26130.27348
489	26118.02421
490	26107.71135
491	26094.66452
492	26087.91244
493	26082.45585
494	26076.76344
495	26061.0853
496	26056.63072
497	26021.0535
498	26016.04325
499	25997.43283
