fecha,temperatura_media_C,humedad_relativa_%,velocidad_viento_m_s,velocidad_viento_km_h,precipitacion_mm_mes
1981-09-01,13.6,76.26,5.17,18.61,80.43
1981-10-01,16.1,76.1,4.35,15.67,57.84
1981-11-01,19.04,76.16,4.63,16.66,109.26
1981-12-01,22.02,68.63,4.0,14.41,104.36
1982-01-01,23.72,64.85,4.33,15.6,58.89
1982-02-01,22.58,70.74,4.77,17.16,167.88
1982-03-01,22.77,71.61,4.36,15.7,86.87
1982-04-01,19.67,79.43,4.45,16.03,55.8
1982-05-01,16.49,77.02,4.65,16.75,92.2
1982-06-01,11.72,82.29,4.74,17.05,123.61
1982-07-01,11.33,84.45,4.77,17.18,76.9
1982-08-01,12.35,80.81,4.21,15.15,27.6
1982-09-01,14.22,82.82,5.08,18.3,208.33
1982-10-01,16.26,73.5,4.43,15.96,109.87
1982-11-01,18.88,72.87,4.63,16.66,37.39
1982-12-01,23.42,64.24,4.02,14.48,63.11
1983-01-01,24.96,69.91,4.31,15.52,74.63
1983-02-01,23.42,71.02,4.73,17.03,73.06
1983-03-01,21.76,69.04,4.73,17.03,38.34
1983-04-01,18.72,72.39,4.1,14.75,65.28
1983-05-01,15.18,80.17,4.68,16.84,52.59
1983-06-01,10.06,83.1,4.54,16.33,40.91
1983-07-01,9.89,80.95,4.15,14.94,13.78
1983-08-01,11.46,83.75,4.39,15.79,103.65
1983-09-01,13.22,75.55,4.37,15.72,94.27
1983-10-01,15.59,81.66,3.86,13.91,133.12
1983-11-01,19.1,79.55,4.64,16.69,83.59
1983-12-01,23.17,72.7,4.72,17.0,116.63
1984-01-01,24.52,75.21,4.1,14.75,191.71
1984-02-01,24.24,79.07,4.32,15.55,282.65
1984-03-01,21.88,77.15,4.63,16.68,112.89
1984-04-01,17.3,80.13,5.55,20.0,64.9
1984-05-01,13.89,82.23,5.36,19.3,82.09
1984-06-01,10.35,84.37,5.38,19.38,75.51
1984-07-01,10.06,86.42,4.78,17.2,56.61
1984-08-01,10.75,79.6,4.5,16.19,15.56
1984-09-01,12.96,84.61,4.35,15.64,69.09
1984-10-01,16.83,79.75,3.87,13.93,241.68
1984-11-01,18.17,77.97,3.65,13.13,74.76
1984-12-01,20.62,66.9,4.63,16.67,54.77
1985-01-01,23.98,69.18,4.96,17.84,104.41
1985-02-01,23.88,70.31,3.8,13.68,64.67
1985-03-01,21.88,71.23,4.88,17.57,97.23
1985-04-01,17.98,77.67,4.42,15.9,114.64
1985-05-01,15.41,78.18,4.2,15.13,235.34
1985-06-01,12.81,84.43,4.19,15.09,46.12
1985-07-01,11.96,83.5,4.72,16.98,82.7
1985-08-01,12.69,81.76,3.81,13.72,28.5
1985-09-01,14.42,80.65,4.45,16.01,85.89
1985-10-01,16.66,79.86,3.96,14.24,201.89
1985-11-01,20.06,77.56,4.25,15.3,225.13
1985-12-01,22.44,72.68,4.36,15.71,58.3
1986-01-01,24.45,69.75,4.51,16.22,128.85
1986-02-01,23.73,68.81,4.32,15.56,26.47
1986-03-01,20.79,70.47,4.16,14.97,64.13
1986-04-01,19.01,81.02,4.43,15.96,203.47
1986-05-01,14.52,79.45,4.78,17.22,82.47
1986-06-01,13.12,87.21,4.52,16.28,82.07
1986-07-01,11.89,83.2,4.84,17.42,36.98
1986-08-01,11.26,84.54,4.37,15.73,148.75
1986-09-01,13.68,82.49,5.04,18.13,71.72
1986-10-01,15.93,80.47,4.29,15.46,192.37
1986-11-01,19.02,76.5,4.62,16.63,210.56
1986-12-01,21.94,72.43,4.72,17.0,53.63
1987-01-01,24.38,69.96,4.08,14.68,70.23
1987-02-01,24.54,74.62,3.91,14.07,165.11
1987-03-01,21.99,78.91,4.62,16.64,177.64
1987-04-01,18.69,78.66,3.97,14.29,94.8
1987-05-01,12.95,77.38,5.19,18.68,11.79
1987-06-01,11.88,80.23,4.63,16.67,2.06
1987-07-01,12.59,85.52,4.59,16.51,98.93
1987-08-01,11.91,83.72,4.81,17.31,57.34
1987-09-01,13.16,75.56,4.59,16.53,57.94
1987-10-01,16.68,78.02,3.96,14.27,144.4
1987-11-01,19.25,77.03,4.5,16.2,128.87
1987-12-01,21.1,73.85,4.19,15.09,116.39
1988-01-01,23.37,72.32,3.73,13.44,116.18
1988-02-01,22.06,74.88,4.26,15.32,69.15
1988-03-01,22.78,79.45,4.64,16.71,440.5
1988-04-01,16.88,75.69,4.79,17.25,32.65
1988-05-01,12.96,77.83,4.06,14.6,2.94
1988-06-01,10.77,81.58,3.8,13.69,10.02
1988-07-01,9.78,80.89,4.76,17.14,33.4
1988-08-01,11.97,78.67,4.27,15.36,31.75
1988-09-01,12.51,74.93,4.03,14.51,34.48
1988-10-01,15.32,72.09,4.71,16.96,146.72
1988-11-01,19.31,69.74,4.26,15.35,74.56
1988-12-01,22.1,67.42,3.7,13.32,78.43
1989-01-01,25.06,64.87,4.26,15.33,43.44
1989-02-01,24.57,66.53,4.22,15.19,56.09
1989-03-01,22.0,72.99,3.97,14.28,167.41
1989-04-01,19.2,74.95,3.93,14.14,135.47
1989-05-01,15.58,74.35,4.23,15.23,9.0
1989-06-01,13.56,79.8,3.86,13.9,42.22
1989-07-01,11.11,80.24,4.81,17.31,49.62
1989-08-01,13.47,80.8,5.23,18.83,161.69
1989-09-01,13.3,75.73,4.43,15.95,30.32
1989-10-01,16.02,75.33,4.57,16.44,49.61
1989-11-01,19.33,71.09,4.24,15.25,106.23
1989-12-01,22.94,75.29,3.98,14.32,207.29
1990-01-01,24.1,68.43,4.09,14.72,213.66
1990-02-01,22.35,84.34,5.06,18.2,266.58
1990-03-01,20.68,78.94,4.47,16.09,152.15
1990-04-01,17.85,79.89,3.97,14.27,203.03
1990-05-01,14.23,82.06,4.86,17.49,57.65
