fecha,temperatura_media_C,humedad_relativa_%,velocidad_viento_m_s,precipitacion_mm_dia,velocidad_viento_km_h
2014-02-20,20.99,77.22,0.25,0.46,0.9
2014-02-21,21.1,85.1,0.16,14.3,0.5760000000000001
2014-02-22,18.3,87.31,0.23,8.37,0.8280000000000001
2014-02-23,20.75,73.56,0.24,0.01,0.864
2014-02-24,19.13,89.18,0.28,24.78,1.0080000000000002
2014-02-25,13.61,90.11,0.33,29.6,1.1880000000000002
2014-02-26,13.97,77.77,0.25,0.01,0.9
2014-02-27,15.69,79.41,0.21,0.03,0.756
2014-02-28,16.11,78.18,0.22,0.0,0.792
2014-03-01,16.45,82.58,0.25,8.85,0.9
2014-03-02,15.42,87.33,0.21,9.19,0.756
2014-03-03,15.49,85.14,0.34,0.98,1.2240000000000002
2014-03-04,18.44,71.44,0.25,0.0,0.9
2014-03-05,19.54,68.71,0.24,0.0,0.864
2014-03-06,17.62,85.96,0.25,24.49,0.9
2014-03-07,18.58,81.74,0.23,0.07,0.8280000000000001
2014-03-08,19.0,76.51,0.2,0.0,0.7200000000000001
2014-03-09,17.79,86.28,0.2,4.97,0.7200000000000001
2014-03-10,15.97,76.98,0.19,0.02,0.684
2014-03-11,17.56,69.22,0.2,0.0,0.7200000000000001
2014-03-12,18.25,75.47,0.26,0.0,0.936
2014-03-13,19.87,81.91,0.25,22.32,0.9
2014-03-14,18.28,82.55,0.28,21.64,1.0080000000000002
2014-03-15,16.55,66.4,0.26,0.0,0.936
2014-03-16,19.6,71.57,0.26,0.0,0.936
2014-03-17,17.03,73.91,0.31,0.61,1.116
2014-03-18,11.49,89.32,0.17,3.48,0.6120000000000001
2014-03-19,12.89,86.26,0.11,3.3,0.396
2014-03-20,17.75,68.85,0.23,0.0,0.8280000000000001
2014-03-21,15.7,68.02,0.31,0.0,1.116
2014-03-22,14.43,65.64,0.41,0.0,1.476
2014-03-23,16.42,67.84,0.21,0.0,0.756
2014-03-24,18.05,67.82,0.31,0.0,1.116
2014-03-25,17.31,71.3,0.38,0.07,1.368
2014-03-26,16.88,72.81,0.37,0.0,1.332
2014-03-27,17.97,83.29,0.21,0.0,0.756
2014-03-28,20.73,81.7,0.18,0.0,0.648
2014-03-29,20.39,86.93,0.24,0.01,0.864
2014-03-30,16.94,76.25,0.3,0.02,1.08
2014-03-31,15.11,62.62,0.39,0.02,1.4040000000000001
2014-04-01,15.45,76.61,0.33,5.65,1.1880000000000002
2014-04-02,17.28,88.12,0.2,0.93,0.7200000000000001
2014-04-03,19.92,88.12,0.22,0.31,0.792
2014-04-04,20.63,88.57,0.22,1.79,0.792
2014-04-05,22.27,91.07,0.21,45.96,0.756
2014-04-06,19.64,95.41,0.21,14.8,0.756
2014-04-07,20.46,87.75,0.23,4.99,0.8280000000000001
2014-04-08,16.94,58.09,0.39,0.0,1.4040000000000001
2014-04-09,16.29,64.45,0.41,0.0,1.476
2014-04-10,13.89,82.26,0.25,0.14,0.9
2014-04-11,13.75,80.19,0.35,0.0,1.26
2014-04-12,11.03,64.95,0.36,0.01,1.296
2014-04-13,9.05,59.12,0.27,0.0,0.9720000000000001
2014-04-14,12.63,68.7,0.23,0.0,0.8280000000000001
2014-04-15,14.73,68.91,0.28,0.0,1.0080000000000002
2014-04-16,16.42,72.78,0.28,0.0,1.0080000000000002
2014-04-17,12.57,73.55,0.39,0.0,1.4040000000000001
2014-04-18,13.96,68.84,0.48,0.0,1.728
2014-04-19,15.1,70.86,0.55,0.0,1.9800000000000002
2014-04-20,14.83,75.19,0.28,0.0,1.0080000000000002
2014-04-21,16.28,82.46,0.22,7.77,0.792
2014-04-22,16.14,84.89,0.21,0.94,0.756
2014-04-23,16.04,83.11,0.25,0.0,0.9
2014-04-24,15.68,80.73,0.25,0.0,0.9
2014-04-25,13.94,79.74,0.3,0.0,1.08
2014-04-26,12.93,81.38,0.35,0.0,1.26
2014-04-27,14.22,82.47,0.28,0.0,1.0080000000000002
2014-04-28,14.42,85.97,0.21,0.08,0.756
2014-04-29,14.44,92.68,0.3,66.16,1.08
2014-04-30,14.04,82.21,0.47,2.43,1.692
2014-05-01,13.63,75.86,0.35,0.0,1.26
2014-05-02,15.26,82.23,0.33,0.01,1.1880000000000002
2014-05-03,16.77,88.92,0.29,0.45,1.044
2014-05-04,16.59,86.36,0.42,0.0,1.512
2014-05-05,15.77,86.13,0.32,0.14,1.1520000000000001
2014-05-06,16.46,85.5,0.37,0.05,1.332
2014-05-07,17.48,82.37,0.34,0.0,1.2240000000000002
2014-05-08,15.57,89.31,0.24,0.0,0.864
2014-05-09,14.25,86.37,0.3,0.55,1.08
2014-05-10,11.46,90.23,0.29,19.26,1.044
2014-05-11,12.9,89.93,0.28,7.15,1.0080000000000002
2014-05-12,13.8,83.97,0.34,0.01,1.2240000000000002
2014-05-13,13.18,86.68,0.37,0.0,1.332
2014-05-14,14.54,87.15,0.38,0.0,1.368
2014-05-15,14.48,91.51,0.37,0.0,1.332
2014-05-16,16.28,85.8,0.38,0.0,1.368
2014-05-17,9.81,71.32,0.32,0.0,1.1520000000000001
2014-05-18,10.17,85.75,0.4,0.42,1.4400000000000002
2014-05-19,11.96,90.86,0.31,1.83,1.116
2014-05-20,12.86,92.96,0.31,2.27,1.116
2014-05-21,12.46,84.0,0.45,0.79,1.62
2014-05-22,6.35,82.07,0.52,0.01,1.872
2014-05-23,6.99,79.2,0.3,0.0,1.08
2014-05-24,8.21,77.09,0.4,0.0,1.4400000000000002
2014-05-25,11.33,73.19,0.53,0.0,1.9080000000000001
2014-05-26,10.12,71.31,0.6,0.0,2.16
2014-05-27,10.43,82.43,0.45,0.0,1.62
2014-05-28,10.7,78.06,0.67,0.0,2.4120000000000004
2014-05-29,13.07,82.7,0.59,0.0,2.124
2014-05-30,11.76,92.43,0.41,0.0,1.476
2014-05-31,9.76,86.1,0.49,0.0,1.764
2014-06-01,10.58,77.82,0.45,0.0,1.62
2014-06-02,11.17,79.77,0.63,0.0,2.2680000000000002
2014-06-03,12.95,79.92,0.7,0.0,2.52
2014-06-04,11.23,71.7,0.75,0.0,2.7
2014-06-05,9.04,70.01,0.52,0.02,1.872
2014-06-06,6.54,77.55,0.58,0.0,2.088
2014-06-07,8.2,65.33,0.65,0.0,2.3400000000000003
2014-06-08,7.8,61.48,0.64,0.0,2.3040000000000003
2014-06-09,9.3,68.46,0.48,0.0,1.728
2014-06-10,10.57,84.75,0.72,0.0,2.592
2014-06-11,15.52,84.39,0.56,0.0,2.0160000000000005
2014-06-12,12.16,71.2,0.77,0.02,2.7720000000000002
2014-06-13,5.51,71.53,0.4,0.0,1.4400000000000002
2014-06-14,5.34,71.57,0.61,0.0,2.196
2014-06-15,9.73,68.18,0.61,0.0,2.196
2014-06-16,8.46,82.53,0.53,0.0,1.9080000000000001
2014-06-17,8.96,80.28,0.45,0.0,1.62
2014-06-18,7.29,87.58,0.33,0.0,1.1880000000000002
2014-06-19,7.15,81.66,0.61,0.0,2.196
2014-06-20,9.77,76.11,0.71,0.0,2.556
2014-06-21,12.08,83.82,0.78,0.0,2.8080000000000003
2014-06-22,13.35,84.03,0.43,0.0,1.548
2014-06-23,13.83,83.85,0.42,0.0,1.512
2014-06-24,11.05,82.44,0.38,0.39,1.368
2014-06-25,8.56,86.03,0.54,3.1,1.9440000000000002
2014-06-26,5.33,90.22,0.43,1.15,1.548
2014-06-27,5.77,70.07,0.6,0.0,2.16
2014-06-28,6.85,61.56,0.68,0.0,2.4480000000000004
2014-06-29,7.32,65.68,0.59,0.0,2.124
2014-06-30,8.45,66.02,0.63,0.0,2.2680000000000002
2014-07-01,9.74,79.78,0.64,0.0,2.3040000000000003
2014-07-02,12.04,79.87,0.76,0.0,2.736
2014-07-03,8.54,65.02,0.57,0.0,2.052
2014-07-04,9.22,83.46,0.5,0.01,1.8
2014-07-05,7.5,71.08,0.85,0.15,3.06
2014-07-06,6.86,48.91,0.86,0.0,3.096
2014-07-07,10.74,47.58,0.72,0.0,2.592
2014-07-08,7.55,65.15,0.73,0.0,2.628
2014-07-09,8.46,58.64,0.62,0.0,2.232
2014-07-10,7.32,74.23,0.69,0.0,2.484
2014-07-11,10.16,84.59,0.78,0.5,2.8080000000000003
2014-07-12,13.35,77.03,0.74,0.65,2.664
2014-07-13,13.54,75.45,0.87,1.23,3.132
2014-07-14,17.04,86.51,0.87,0.11,3.132
2014-07-15,11.91,68.91,0.96,0.0,3.456
2014-07-16,9.42,67.15,0.52,0.0,1.872
2014-07-17,10.36,64.66,0.82,0.0,2.952
2014-07-18,11.25,63.06,0.67,0.0,2.4120000000000004
2014-07-19,13.53,52.78,0.75,0.0,2.7
2014-07-20,13.09,53.88,1.08,0.0,3.8880000000000003
2014-07-21,13.52,64.57,0.55,0.0,1.9800000000000002
2014-07-22,9.92,71.36,1.09,0.0,3.9240000000000004
2014-07-23,5.19,60.61,0.94,0.02,3.384
2014-07-24,5.36,47.0,0.84,0.0,3.024
2014-07-25,6.53,42.73,0.52,0.0,1.872
2014-07-26,5.01,68.3,0.66,0.0,2.3760000000000003
2014-07-27,5.67,72.1,0.82,0.0,2.952
2014-07-28,9.0,66.58,1.02,0.0,3.672
2014-07-29,13.88,68.39,0.76,0.0,2.736
2014-07-30,12.69,72.79,0.51,0.03,1.836
2014-07-31,16.89,78.6,0.52,0.02,1.872
2014-08-01,17.93,74.71,0.68,0.0,2.4480000000000004
2014-08-02,20.7,64.57,0.9,0.0,3.24
2014-08-03,15.13,57.62,0.78,0.0,2.8080000000000003
2014-08-04,10.09,52.75,0.74,0.0,2.664
2014-08-05,12.27,46.18,1.45,0.0,5.22
2014-08-06,14.34,49.86,1.14,0.0,4.104
2014-08-07,9.49,51.26,0.72,0.0,2.592
2014-08-08,8.94,47.4,0.98,0.0,3.528
2014-08-09,12.34,49.64,0.88,0.0,3.168
2014-08-10,11.93,57.94,0.98,0.0,3.528
2014-08-11,10.96,62.9,0.57,0.0,2.052
2014-08-12,8.78,54.56,0.87,0.0,3.132
2014-08-13,9.35,38.74,0.93,0.0,3.3480000000000003
2014-08-14,9.71,38.77,1.26,0.0,4.5360000000000005
2014-08-15,11.96,43.92,0.84,0.0,3.024
2014-08-16,14.6,55.52,0.76,0.0,2.736
2014-08-17,16.91,57.51,0.62,0.0,2.232
2014-08-18,19.79,55.66,0.98,0.0,3.528
2014-08-19,20.52,55.67,1.08,0.0,3.8880000000000003
2014-08-20,20.68,64.91,1.17,0.0,4.212
2014-08-21,22.11,60.51,0.85,0.0,3.06
2014-08-22,22.27,59.6,0.66,0.0,2.3760000000000003
2014-08-23,19.91,62.54,0.8,0.0,2.8800000000000003
2014-08-24,10.42,60.98,1.18,0.42,4.248
2014-08-25,8.21,53.18,1.55,0.0,5.58
2014-08-26,8.15,48.18,0.67,0.0,2.4120000000000004
2014-08-27,7.45,54.61,0.77,0.0,2.7720000000000002
2014-08-28,8.82,57.48,0.79,0.0,2.8440000000000003
2014-08-29,11.63,57.49,0.87,0.0,3.132
2014-08-30,15.95,47.77,1.13,0.0,4.068
2014-08-31,14.33,60.18,0.62,0.0,2.232
2014-09-01,15.95,69.34,0.82,0.0,2.952
2014-09-02,18.85,63.66,0.62,0.0,2.232
2014-09-03,16.56,81.95,0.7,2.46,2.52
2014-09-04,15.7,85.23,0.49,15.19,1.764
2014-09-05,18.21,76.09,0.6,2.83,2.16
2014-09-06,14.16,51.86,0.89,0.0,3.204
2014-09-07,15.82,52.13,1.03,0.0,3.708
2014-09-08,19.96,61.03,1.22,0.0,4.392
2014-09-09,14.44,58.27,1.17,0.0,4.212
2014-09-10,9.76,49.69,0.75,0.0,2.7
2014-09-11,10.14,54.15,0.93,0.0,3.3480000000000003
2014-09-12,12.23,53.99,0.88,0.0,3.168
2014-09-13,12.99,55.47,0.66,0.0,2.3760000000000003
2014-09-14,11.71,67.6,0.98,0.12,3.528
2014-09-15,14.76,47.77,0.66,0.0,2.3760000000000003
2014-09-16,15.73,50.85,1.01,0.0,3.636
2014-09-17,15.99,59.71,0.81,0.0,2.9160000000000004
2014-09-18,16.46,65.31,0.56,0.11,2.0160000000000005
2014-09-19,17.01,66.53,0.77,1.21,2.7720000000000002
2014-09-20,16.61,61.82,0.54,0.0,1.9440000000000002
2014-09-21,16.98,50.51,1.28,0.0,4.6080000000000005
2014-09-22,19.03,47.86,1.07,0.0,3.8520000000000003
2014-09-23,14.31,63.68,0.83,0.0,2.988
2014-09-24,14.22,50.99,1.13,0.0,4.068
2014-09-25,18.59,38.18,1.18,0.0,4.248
2014-09-26,12.16,45.9,0.61,0.0,2.196
2014-09-27,12.36,48.92,0.92,0.0,3.3120000000000003
2014-09-28,19.53,48.84,0.79,0.0,2.8440000000000003
2014-09-29,16.92,68.24,0.64,2.5,2.3040000000000003
2014-09-30,16.24,75.27,0.5,2.48,1.8
2014-10-01,16.75,62.25,0.73,0.0,2.628
2014-10-02,15.73,66.91,1.08,0.0,3.8880000000000003
2014-10-03,14.72,79.93,0.77,21.06,2.7720000000000002
2014-10-04,16.38,85.63,1.11,58.82,3.9960000000000004
2014-10-05,16.44,61.66,0.62,3.84,2.232
2014-10-06,18.68,53.26,0.67,0.0,2.4120000000000004
2014-10-07,19.94,56.57,0.87,0.0,3.132
2014-10-08,22.79,67.19,0.84,0.58,3.024
2014-10-09,19.47,61.38,0.99,0.06,3.564
2014-10-10,11.62,53.53,0.72,0.0,2.592
2014-10-11,12.61,63.18,0.65,0.0,2.3400000000000003
2014-10-12,16.59,58.3,0.57,0.0,2.052
2014-10-13,18.07,58.74,0.6,0.0,2.16
2014-10-14,19.86,55.94,0.79,0.0,2.8440000000000003
2014-10-15,23.97,56.3,0.84,0.0,3.024
2014-10-16,20.66,48.54,1.0,0.0,3.6
2014-10-17,22.22,50.3,0.59,0.0,2.124
2014-10-18,19.93,62.12,0.91,0.09,3.2760000000000002
2014-10-19,16.68,53.0,0.57,0.01,2.052
2014-10-20,18.68,52.99,0.79,0.0,2.8440000000000003
2014-10-21,21.72,49.14,0.94,0.0,3.384
2014-10-22,23.66,45.3,0.87,0.0,3.132
2014-10-23,24.57,45.46,0.6,0.0,2.16
2014-10-24,26.59,49.78,0.6,0.0,2.16
2014-10-25,26.38,45.4,0.67,0.0,2.4120000000000004
2014-10-26,27.2,37.12,0.97,0.0,3.492
2014-10-27,27.69,45.57,0.72,0.0,2.592
2014-10-28,23.72,61.7,0.69,0.0,2.484
2014-10-29,24.35,55.61,0.88,0.16,3.168
2014-10-30,18.92,60.44,0.59,0.01,2.124
2014-10-31,15.74,74.84,0.65,5.51,2.3400000000000003
2014-11-01,12.45,87.28,0.76,22.8,2.736
2014-11-02,12.41,84.03,0.51,10.39,1.836
2014-11-03,17.22,63.43,0.56,0.18,2.0160000000000005
2014-11-04,16.06,45.13,0.51,0.0,1.836
2014-11-05,17.41,46.26,0.8,0.0,2.8800000000000003
2014-11-06,21.46,48.81,0.45,0.0,1.62
2014-11-07,22.01,62.69,0.51,7.93,1.836
2014-11-08,23.09,59.46,0.52,0.0,1.872
2014-11-09,24.44,46.2,0.58,0.0,2.088
2014-11-10,23.75,46.7,0.66,1.41,2.3760000000000003
2014-11-11,19.09,64.09,0.49,5.71,1.764
2014-11-12,17.69,54.73,0.61,2.65,2.196
2014-11-13,18.12,52.33,0.34,0.21,1.2240000000000002
2014-11-14,21.72,44.98,0.54,0.01,1.9440000000000002
2014-11-15,24.25,34.52,0.55,0.0,1.9800000000000002
2014-11-16,24.15,33.94,0.59,0.0,2.124
2014-11-17,22.79,43.55,0.83,20.78,2.988
2014-11-18,24.58,48.9,0.62,0.0,2.232
2014-11-19,18.67,68.42,0.66,2.97,2.3760000000000003
2014-11-20,15.5,77.14,0.56,24.24,2.0160000000000005
2014-11-21,17.9,70.33,0.39,5.71,1.4040000000000001
2014-11-22,20.58,50.23,0.52,0.0,1.872
2014-11-23,22.47,61.34,0.73,0.0,2.628
2014-11-24,20.07,65.3,0.71,0.04,2.556
2014-11-25,18.98,51.82,0.51,0.18,1.836
2014-11-26,19.62,58.82,0.54,10.24,1.9440000000000002
2014-11-27,21.2,53.07,0.51,0.0,1.836
2014-11-28,21.99,55.14,0.59,0.0,2.124
2014-11-29,21.11,65.03,0.73,9.46,2.628
2014-11-30,15.43,60.51,0.62,13.41,2.232
2014-12-01,14.85,52.23,0.48,0.0,1.728
2014-12-02,19.06,43.62,0.55,0.0,1.9800000000000002
2014-12-03,22.09,39.49,0.41,0.0,1.476
2014-12-04,22.53,44.09,0.57,0.0,2.052
2014-12-05,22.62,50.88,0.57,0.0,2.052
2014-12-06,26.55,49.08,0.49,0.0,1.764
2014-12-07,20.66,64.73,0.43,0.71,1.548
2014-12-08,22.2,69.01,0.4,0.23,1.4400000000000002
2014-12-09,25.95,68.23,0.38,8.71,1.368
2014-12-10,23.08,66.36,0.45,2.69,1.62
2014-12-11,19.81,72.12,0.36,10.07,1.296
2014-12-12,21.77,67.05,0.28,0.84,1.0080000000000002
2014-12-13,22.03,64.51,0.28,0.06,1.0080000000000002
2014-12-14,21.16,62.47,0.41,0.24,1.476
2014-12-15,19.16,79.96,0.36,5.79,1.296
2014-12-16,20.16,78.83,0.31,8.3,1.116
2014-12-17,20.67,72.4,0.49,4.26,1.764
2014-12-18,22.44,58.25,0.29,0.0,1.044
2014-12-19,25.67,53.3,0.39,0.28,1.4040000000000001
2014-12-20,19.13,69.43,0.43,1.41,1.548
2014-12-21,15.53,51.04,0.39,0.0,1.4040000000000001
2014-12-22,15.36,47.12,0.46,0.0,1.6560000000000001
2014-12-23,17.27,47.4,0.43,0.0,1.548
2014-12-24,20.25,51.13,0.41,0.0,1.476
2014-12-25,24.25,53.85,0.35,0.0,1.26
2014-12-26,25.12,75.21,0.25,15.9,0.9
2014-12-27,22.4,79.9,0.34,1.2,1.2240000000000002
2014-12-28,25.0,68.53,0.29,0.23,1.044
2014-12-29,25.61,71.02,0.26,11.73,0.936
2014-12-30,22.98,81.61,0.23,11.87,0.8280000000000001
2014-12-31,20.41,74.63,0.3,3.47,1.08
2015-01-01,16.34,64.24,0.47,8.31,1.692
2015-01-02,17.02,57.35,0.42,0.0,1.512
2015-01-03,21.31,56.79,0.28,0.0,1.0080000000000002
2015-01-04,24.08,59.41,0.28,0.0,1.0080000000000002
2015-01-05,25.55,70.21,0.32,0.0,1.1520000000000001
2015-01-06,25.68,77.97,0.25,12.72,0.9
2015-01-07,22.18,80.4,0.27,23.31,0.9720000000000001
2015-01-08,22.17,78.59,0.29,0.0,1.044
2015-01-09,26.83,61.49,0.24,0.0,0.864
2015-01-10,25.41,80.25,0.24,15.36,0.864
2015-01-11,22.92,83.99,0.23,7.96,0.8280000000000001
2015-01-12,24.29,79.22,0.24,26.61,0.864
2015-01-13,24.02,80.47,0.25,6.18,0.9
2015-01-14,23.21,67.32,0.28,0.05,1.0080000000000002
2015-01-15,22.29,76.15,0.22,0.0,0.792
2015-01-16,24.34,68.96,0.19,0.0,0.684
2015-01-17,24.77,68.05,0.18,7.87,0.648
2015-01-18,24.93,71.11,0.21,0.58,0.756
2015-01-19,24.9,70.64,0.27,2.51,0.9720000000000001
2015-01-20,18.59,72.4,0.32,6.58,1.1520000000000001
2015-01-21,18.91,71.58,0.26,0.0,0.936
2015-01-22,20.77,78.21,0.26,0.12,0.936
2015-01-23,23.48,71.92,0.2,0.0,0.7200000000000001
2015-01-24,25.17,68.27,0.2,0.0,0.7200000000000001
2015-01-25,26.47,62.63,0.22,0.02,0.792
2015-01-26,26.53,67.91,0.22,17.8,0.792
2015-01-27,24.31,80.19,0.22,139.9,0.792
2015-01-28,21.05,81.14,0.27,2.32,0.9720000000000001
2015-01-29,18.67,73.53,0.2,0.02,0.7200000000000001
2015-01-30,19.49,71.81,0.25,0.0,0.9
2015-01-31,20.62,70.33,0.24,0.0,0.864
2015-02-01,21.96,75.99,0.22,0.02,0.792
2015-02-02,20.55,91.09,0.18,20.85,0.648
2015-02-03,22.25,88.44,0.17,5.24,0.6120000000000001
2015-02-04,25.42,75.15,0.32,1.68,1.1520000000000001
2015-02-05,24.3,80.03,0.21,0.23,0.756
2015-02-06,24.38,74.58,0.22,0.11,0.792
2015-02-07,24.59,76.12,0.16,1.45,0.5760000000000001
2015-02-08,24.99,75.31,0.17,3.92,0.6120000000000001
2015-02-09,20.69,84.07,0.25,6.88,0.9
2015-02-10,17.68,78.75,0.31,37.52,1.116
2015-02-11,20.94,70.87,0.21,0.0,0.756
2015-02-12,22.66,68.02,0.22,0.0,0.792
2015-02-13,19.1,69.57,0.23,0.0,0.8280000000000001
2015-02-14,19.22,78.62,0.24,46.86,0.864
2015-02-15,19.85,93.99,0.19,67.68,0.684
2015-02-16,20.84,85.89,0.19,3.23,0.684
2015-02-17,20.85,86.65,0.21,26.25,0.756
2015-02-18,17.6,85.78,0.24,7.61,0.864
2015-02-19,14.88,71.26,0.3,0.14,1.08
2015-02-20,15.91,70.27,0.32,0.08,1.1520000000000001
2015-02-21,16.36,82.98,0.24,0.02,0.864
2015-02-22,18.21,77.84,0.31,0.0,1.116
2015-02-23,20.73,77.99,0.36,0.0,1.296
2015-02-24,21.85,88.83,0.27,33.29,0.9720000000000001
2015-02-25,23.17,83.91,0.25,16.62,0.9
2015-02-26,17.27,88.01,0.25,5.05,0.9
2015-02-27,17.75,87.72,0.18,7.5,0.648
2015-02-28,18.07,89.04,0.22,28.37,0.792
2015-03-01,22.27,81.91,0.17,13.22,0.6120000000000001
2015-03-02,22.28,88.54,0.23,4.81,0.8280000000000001
2015-03-03,21.57,85.97,0.2,17.08,0.7200000000000001
2015-03-04,19.65,77.21,0.35,0.01,1.26
2015-03-05,20.59,81.32,0.34,0.03,1.2240000000000002
2015-03-06,22.73,84.94,0.19,0.0,0.684
2015-03-07,23.59,84.57,0.17,0.0,0.6120000000000001
2015-03-08,23.24,83.33,0.18,0.0,0.648
2015-03-09,22.73,82.29,0.19,0.0,0.684
2015-03-10,22.03,82.93,0.19,0.0,0.684
2015-03-11,21.65,81.98,0.21,0.0,0.756
2015-03-12,21.54,82.61,0.21,0.0,0.756
2015-03-13,22.01,83.03,0.19,0.25,0.684
2015-03-14,18.11,91.53,0.19,9.99,0.684
2015-03-15,21.02,85.47,0.21,0.15,0.756
2015-03-16,22.14,84.89,0.21,0.0,0.756
2015-03-17,22.09,85.61,0.23,0.0,0.8280000000000001
2015-03-18,20.93,84.32,0.2,0.0,0.7200000000000001
2015-03-19,21.82,78.38,0.2,0.01,0.7200000000000001
2015-03-20,22.92,79.63,0.23,3.03,0.8280000000000001
2015-03-21,15.36,72.41,0.2,0.26,0.7200000000000001
2015-03-22,14.2,78.21,0.17,0.0,0.6120000000000001
2015-03-23,15.44,79.96,0.19,0.0,0.684
2015-03-24,13.8,91.88,0.17,23.38,0.6120000000000001
2015-03-25,13.41,94.2,0.16,5.77,0.5760000000000001
2015-03-26,13.17,84.85,0.22,0.94,0.792
2015-03-27,15.1,76.95,0.37,0.02,1.332
2015-03-28,16.78,75.86,0.19,0.0,0.684
2015-03-29,17.91,73.17,0.21,0.0,0.756
2015-03-30,17.18,82.33,0.22,10.58,0.792
2015-03-31,17.57,77.19,0.31,0.64,1.116
2015-04-01,18.33,80.39,0.23,0.0,0.8280000000000001
2015-04-02,20.83,78.61,0.22,0.0,0.792
2015-04-03,21.84,79.05,0.2,0.35,0.7200000000000001
2015-04-04,18.16,91.79,0.14,3.6,0.5040000000000001
2015-04-05,16.73,77.1,0.28,0.44,1.0080000000000002
2015-04-06,15.68,78.14,0.35,0.0,1.26
2015-04-07,15.13,84.22,0.27,0.38,0.9720000000000001
2015-04-08,16.8,78.06,0.23,0.0,0.8280000000000001
2015-04-09,18.36,80.78,0.24,0.0,0.864
2015-04-10,20.61,80.2,0.23,1.74,0.8280000000000001
2015-04-11,20.84,85.74,0.22,3.01,0.792
2015-04-12,20.09,87.21,0.23,0.07,0.8280000000000001
2015-04-13,20.98,86.56,0.27,6.7,0.9720000000000001
2015-04-14,19.14,92.29,0.21,13.28,0.756
2015-04-15,18.87,84.84,0.23,2.54,0.8280000000000001
2015-04-16,19.18,86.03,0.36,3.78,1.296
2015-04-17,14.07,70.06,0.31,2.51,1.116
2015-04-18,16.01,66.47,0.35,0.0,1.26
2015-04-19,16.58,77.33,0.3,0.0,1.08
2015-04-20,12.84,71.18,0.24,0.0,0.864
2015-04-21,11.89,77.9,0.23,5.85,0.8280000000000001
2015-04-22,15.57,73.04,0.45,0.06,1.62
2015-04-23,15.95,75.5,0.28,0.0,1.0080000000000002
2015-04-24,17.39,76.12,0.25,0.0,0.9
2015-04-25,18.27,74.88,0.33,0.0,1.1880000000000002
2015-04-26,17.68,71.93,0.27,0.0,0.9720000000000001
2015-04-27,18.8,75.76,0.32,0.0,1.1520000000000001
2015-04-28,17.73,80.37,0.45,0.21,1.62
2015-04-29,18.14,81.9,0.25,1.05,0.9
2015-04-30,17.24,87.39,0.36,0.04,1.296
2015-05-01,17.03,90.29,0.27,0.07,0.9720000000000001
2015-05-02,15.24,73.84,0.37,0.14,1.332
2015-05-03,11.11,54.94,0.4,0.0,1.4400000000000002
2015-05-04,12.9,50.33,0.52,0.0,1.872
2015-05-05,13.43,65.36,0.46,0.0,1.6560000000000001
2015-05-06,10.15,77.3,0.41,0.0,1.476
2015-05-07,8.71,91.04,0.32,0.0,1.1520000000000001
2015-05-08,12.32,78.75,0.37,0.0,1.332
2015-05-09,15.07,78.18,0.24,0.0,0.864
2015-05-10,14.07,82.96,0.39,0.0,1.4040000000000001
2015-05-11,12.42,81.94,0.39,0.0,1.4040000000000001
2015-05-12,11.8,82.66,0.43,0.0,1.548
2015-05-13,13.57,81.86,0.31,0.0,1.116
2015-05-14,14.03,81.47,0.36,0.0,1.296
2015-05-15,15.8,82.15,0.33,0.0,1.1880000000000002
2015-05-16,16.25,84.41,0.48,0.0,1.728
2015-05-17,18.1,83.49,0.39,0.0,1.4040000000000001
2015-05-18,18.88,84.39,0.33,0.02,1.1880000000000002
2015-05-19,19.02,82.9,0.42,0.0,1.512
2015-05-20,18.85,80.56,0.6,0.0,2.16
2015-05-21,18.17,81.72,0.46,0.0,1.6560000000000001
2015-05-22,19.31,82.64,0.36,0.0,1.296
2015-05-23,16.87,77.84,0.43,0.02,1.548
2015-05-24,10.42,75.37,0.46,3.28,1.6560000000000001
2015-05-25,11.27,73.88,0.45,0.54,1.62
2015-05-26,11.81,85.84,0.34,2.33,1.2240000000000002
2015-05-27,12.7,85.87,0.23,3.2,0.8280000000000001
2015-05-28,12.57,78.65,0.42,0.0,1.512
2015-05-29,13.52,84.32,0.35,0.0,1.26
2015-05-30,11.63,75.82,0.47,0.0,1.692
2015-05-31,13.15,72.14,0.52,0.0,1.872
2015-06-01,13.95,76.68,0.49,0.0,1.764
2015-06-02,15.42,67.63,0.46,0.0,1.6560000000000001
2015-06-03,15.09,61.16,0.67,0.0,2.4120000000000004
2015-06-04,14.85,74.62,0.51,0.0,1.836
2015-06-05,19.16,72.57,0.7,0.0,2.52
2015-06-06,19.1,62.6,0.46,0.0,1.6560000000000001
2015-06-07,11.6,70.58,0.46,0.0,1.6560000000000001
2015-06-08,13.12,69.86,0.55,0.0,1.9800000000000002
2015-06-09,14.4,77.93,0.49,0.0,1.764
2015-06-10,11.24,80.13,0.39,0.0,1.4040000000000001
2015-06-11,9.62,76.08,0.54,0.0,1.9440000000000002
2015-06-12,9.84,70.58,0.57,0.0,2.052
2015-06-13,11.78,68.95,0.43,0.0,1.548
2015-06-14,8.5,57.65,0.62,0.0,2.232
2015-06-15,9.32,43.66,0.46,0.0,1.6560000000000001
2015-06-16,11.3,51.37,0.85,0.0,3.06
2015-06-17,8.94,63.57,0.63,0.0,2.2680000000000002
2015-06-18,3.63,67.95,0.37,0.0,1.332
