fecha,temperatura_media_C,humedad_relativa_%,velocidad_viento_m_s,precipitacion_mm_dia,velocidad_viento_km_h
2010-11-02,23.3,34.29,0.57,0.0,2.052
2010-11-03,24.49,35.4,0.8,2.02,2.8800000000000003
2010-11-04,16.21,71.83,0.48,1.47,1.728
2010-11-05,19.99,48.79,0.51,0.02,1.836
2010-11-06,23.9,41.77,0.46,0.0,1.6560000000000001
2010-11-07,27.05,35.63,0.96,0.53,3.456
2010-11-08,13.66,53.97,1.01,0.01,3.636
2010-11-09,14.94,41.05,0.64,0.0,2.3040000000000003
2010-11-10,16.44,39.07,0.68,0.0,2.4480000000000004
2010-11-11,17.56,34.83,0.74,0.0,2.664
2010-11-12,18.05,36.31,0.76,0.0,2.736
2010-11-13,19.31,40.46,0.57,0.0,2.052
2010-11-14,19.19,45.27,0.45,0.04,1.62
2010-11-15,17.77,56.36,0.44,0.46,1.584
2010-11-16,14.9,70.65,0.53,10.47,1.9080000000000001
2010-11-17,19.06,55.02,0.61,0.01,2.196
2010-11-18,19.51,56.91,0.52,11.48,1.872
2010-11-19,18.73,70.78,0.43,0.28,1.548
2010-11-20,19.82,64.03,0.46,0.02,1.6560000000000001
2010-11-21,21.15,62.55,0.32,11.28,1.1520000000000001
2010-11-22,17.17,81.64,0.34,13.84,1.2240000000000002
2010-11-23,19.23,65.55,0.33,1.04,1.1880000000000002
2010-11-24,21.22,53.85,0.39,0.0,1.4040000000000001
2010-11-25,21.95,49.01,0.53,0.0,1.9080000000000001
2010-11-26,24.88,44.87,0.52,0.0,1.872
2010-11-27,19.44,70.78,0.57,2.55,2.052
2010-11-28,16.15,74.74,0.42,13.14,1.512
2010-11-29,20.71,57.61,0.3,3.14,1.08
2010-11-30,21.37,53.33,0.41,3.09,1.476
2010-12-01,24.34,41.25,0.62,0.56,2.232
2010-12-02,22.53,57.32,0.47,0.11,1.692
2010-12-03,19.02,65.38,0.43,3.0,1.548
2010-12-04,22.3,56.86,0.46,0.99,1.6560000000000001
2010-12-05,22.07,59.85,0.5,0.0,1.8
2010-12-06,22.97,54.9,0.47,0.29,1.692
2010-12-07,23.86,56.2,0.27,4.82,0.9720000000000001
2010-12-08,20.51,46.85,0.43,0.05,1.548
2010-12-09,24.86,38.35,0.47,0.0,1.692
2010-12-10,26.78,41.2,0.53,0.01,1.9080000000000001
2010-12-11,24.05,36.6,0.49,0.04,1.764
2010-12-12,14.71,33.56,0.65,0.03,2.3400000000000003
2010-12-13,19.13,28.83,0.45,0.0,1.62
2010-12-14,23.49,26.59,0.37,0.0,1.332
2010-12-15,23.59,28.81,0.44,0.0,1.584
2010-12-16,23.88,37.88,0.45,0.0,1.62
2010-12-17,26.81,41.59,0.36,0.27,1.296
2010-12-18,19.39,72.6,0.38,3.16,1.368
2010-12-19,20.32,75.14,0.27,7.14,0.9720000000000001
2010-12-20,22.67,58.88,0.35,0.02,1.26
2010-12-21,23.32,46.91,0.29,0.0,1.044
2010-12-22,25.23,51.04,0.38,0.0,1.368
2010-12-23,25.6,71.33,0.31,16.59,1.116
2010-12-24,23.28,52.44,0.46,3.45,1.6560000000000001
2010-12-25,24.32,39.51,0.41,0.0,1.476
2010-12-26,25.08,37.0,0.4,0.0,1.4400000000000002
2010-12-27,25.23,45.15,0.32,1.22,1.1520000000000001
2010-12-28,25.12,48.04,0.45,0.51,1.62
2010-12-29,24.71,49.5,0.32,2.24,1.1520000000000001
2010-12-30,22.43,61.68,0.38,19.48,1.368
2010-12-31,24.06,47.43,0.39,0.41,1.4040000000000001
2011-01-01,24.41,51.03,0.46,0.02,1.6560000000000001
2011-01-02,23.59,60.59,0.36,2.6,1.296
2011-01-03,23.28,63.17,0.3,4.3,1.08
2011-01-04,22.27,70.12,0.24,7.08,0.864
2011-01-05,20.17,55.67,0.39,11.35,1.4040000000000001
2011-01-06,23.45,50.28,0.25,0.05,0.9
2011-01-07,21.25,70.23,0.24,2.71,0.864
2011-01-08,23.4,66.87,0.27,0.34,0.9720000000000001
2011-01-09,22.08,61.46,0.35,1.3,1.26
2011-01-10,20.38,62.82,0.23,0.31,0.8280000000000001
2011-01-11,24.8,54.19,0.35,6.49,1.26
2011-01-12,25.68,46.58,0.42,0.0,1.512
2011-01-13,26.2,41.15,0.26,0.0,0.936
2011-01-14,25.36,52.75,0.28,0.89,1.0080000000000002
2011-01-15,26.91,50.36,0.41,0.04,1.476
2011-01-16,23.71,52.72,0.31,3.52,1.116
2011-01-17,21.26,48.68,0.3,0.84,1.08
2011-01-18,22.39,58.73,0.35,0.0,1.26
2011-01-19,24.16,66.21,0.21,0.2,0.756
2011-01-20,21.53,43.56,0.21,0.0,0.756
2011-01-21,21.68,42.5,0.24,0.0,0.864
2011-01-22,24.16,45.94,0.3,0.0,1.08
2011-01-23,24.97,43.33,0.21,0.0,0.756
2011-01-24,26.01,61.89,0.25,12.58,0.9
2011-01-25,25.36,75.69,0.21,25.35,0.756
2011-01-26,25.08,73.86,0.28,20.07,1.0080000000000002
2011-01-27,24.43,68.39,0.28,0.06,1.0080000000000002
2011-01-28,23.56,62.01,0.26,0.02,0.936
2011-01-29,24.11,58.39,0.32,0.8,1.1520000000000001
2011-01-30,24.85,77.28,0.2,8.43,0.7200000000000001
2011-01-31,23.99,75.1,0.23,10.84,0.8280000000000001
2011-02-01,20.35,68.45,0.26,0.14,0.936
2011-02-02,21.92,70.66,0.29,0.0,1.044
2011-02-03,24.96,73.34,0.25,0.01,0.9
2011-02-04,22.08,49.09,0.24,0.02,0.864
2011-02-05,23.7,53.94,0.33,0.0,1.1880000000000002
2011-02-06,19.91,59.99,0.18,0.14,0.648
2011-02-07,18.82,84.84,0.22,23.72,0.792
2011-02-08,18.93,77.87,0.26,0.73,0.936
2011-02-09,19.66,72.38,0.22,1.36,0.792
2011-02-10,19.06,69.46,0.29,0.16,1.044
2011-02-11,18.62,69.47,0.27,0.15,0.9720000000000001
2011-02-12,21.69,65.02,0.17,4.99,0.6120000000000001
2011-02-13,22.1,69.8,0.25,5.47,0.9
2011-02-14,21.92,68.17,0.23,0.0,0.8280000000000001
2011-02-15,22.18,59.49,0.27,0.0,0.9720000000000001
2011-02-16,22.61,61.53,0.24,0.0,0.864
2011-02-17,23.5,66.74,0.21,12.03,0.756
2011-02-18,20.1,84.61,0.24,1.06,0.864
2011-02-19,19.25,72.29,0.25,0.36,0.9
2011-02-20,20.12,70.75,0.18,0.17,0.648
2011-02-21,21.13,80.65,0.27,35.67,0.9720000000000001
2011-02-22,20.64,88.59,0.16,37.2,0.5760000000000001
2011-02-23,21.47,79.4,0.24,1.67,0.864
2011-02-24,16.75,89.02,0.29,4.76,1.044
2011-02-25,17.18,80.55,0.19,0.13,0.684
2011-02-26,20.46,73.94,0.18,0.0,0.648
2011-02-27,20.8,73.65,0.2,0.0,0.7200000000000001
2011-02-28,19.13,73.0,0.31,0.0,1.116
2011-03-01,18.28,66.78,0.3,0.0,1.08
2011-03-02,18.52,66.32,0.37,0.0,1.332
2011-03-03,21.21,56.94,0.51,0.0,1.836
2011-03-04,21.38,65.6,0.42,0.0,1.512
2011-03-05,20.44,72.44,0.36,0.24,1.296
2011-03-06,20.58,73.63,0.36,1.97,1.296
2011-03-07,20.28,76.35,0.28,0.39,1.0080000000000002
2011-03-08,23.44,63.65,0.35,0.05,1.26
2011-03-09,23.67,64.15,0.21,0.0,0.756
2011-03-10,23.48,67.4,0.21,0.63,0.756
2011-03-11,23.87,69.21,0.22,5.66,0.792
2011-03-12,21.29,73.53,0.3,9.98,1.08
2011-03-13,13.7,52.13,0.27,0.0,0.9720000000000001
2011-03-14,13.33,61.55,0.28,0.0,1.0080000000000002
2011-03-15,15.35,62.74,0.34,0.0,1.2240000000000002
2011-03-16,16.84,77.3,0.29,1.7,1.044
2011-03-17,18.08,72.28,0.22,0.0,0.792
2011-03-18,17.42,52.2,0.31,0.0,1.116
2011-03-19,17.7,51.39,0.27,0.0,0.9720000000000001
2011-03-20,19.17,52.58,0.25,0.0,0.9
2011-03-21,21.26,53.92,0.22,0.0,0.792
2011-03-22,23.02,68.55,0.21,1.42,0.756
2011-03-23,15.01,88.17,0.31,8.31,1.116
2011-03-24,14.42,75.64,0.16,13.9,0.5760000000000001
2011-03-25,17.14,81.57,0.14,6.49,0.5040000000000001
2011-03-26,15.24,72.35,0.32,0.15,1.1520000000000001
2011-03-27,14.12,54.68,0.42,0.0,1.512
2011-03-28,15.72,57.38,0.47,0.0,1.692
2011-03-29,16.2,61.75,0.23,0.0,0.8280000000000001
2011-03-30,18.93,60.05,0.21,0.0,0.756
2011-03-31,20.7,60.96,0.18,0.0,0.648
2011-04-01,20.51,67.43,0.2,0.23,0.7200000000000001
2011-04-02,18.37,77.27,0.31,0.12,1.116
2011-04-03,20.73,64.63,0.19,2.12,0.684
2011-04-04,19.76,63.16,0.28,0.0,1.0080000000000002
2011-04-05,20.59,59.34,0.39,0.0,1.4040000000000001
2011-04-06,21.15,60.86,0.45,0.0,1.62
2011-04-07,21.82,63.37,0.18,0.32,0.648
2011-04-08,18.61,59.1,0.29,0.11,1.044
2011-04-09,16.14,57.56,0.33,0.0,1.1880000000000002
2011-04-10,15.94,59.67,0.25,0.03,0.9
2011-04-11,18.73,59.33,0.27,0.0,0.9720000000000001
2011-04-12,19.87,60.09,0.31,0.0,1.116
2011-04-13,21.97,55.24,0.34,0.0,1.2240000000000002
2011-04-14,15.53,55.58,0.38,0.0,1.368
2011-04-15,13.28,52.17,0.47,0.09,1.692
2011-04-16,12.99,71.52,0.4,3.62,1.4400000000000002
2011-04-17,14.48,57.89,0.37,0.0,1.332
2011-04-18,14.94,48.88,0.5,0.0,1.8
2011-04-19,13.64,64.27,0.3,0.07,1.08
2011-04-20,17.1,70.05,0.4,0.15,1.4400000000000002
2011-04-21,16.82,64.37,0.48,0.0,1.728
2011-04-22,18.89,56.66,0.39,0.0,1.4040000000000001
2011-04-23,12.56,46.02,0.25,0.0,0.9
2011-04-24,16.88,42.42,0.35,0.0,1.26
2011-04-25,16.32,51.71,0.25,0.0,0.9
2011-04-26,16.98,51.47,0.36,0.0,1.296
