"Índice_de_tendencia";"superficie_en_hectáreas";"porcentaje_principal";"tendencia"
"Fuerte tendencia negativa";"271564";"0.10";"negativa"
"Moderada tendencia negativa";"6069635";"2.21";"negativa"
"Suave tendencia negativa";"19211114";"6.99";""
"Sin tendencias significativas";"198377563";"no sign";""
"Suave tendencia positiva";"35723843";"13.0";""
"Moderada tendencia positiva";"10019647";"3.65";"positiva"
"Fuerte tendencia positiva";"5187846";"1.89";"positiva"
