"categoria";"superficie";"unidad_de_medida"
"hiperárido";"4926.60";"km2"
"árido";"169830.70";"km2"
"semiárido";"1043320.30";"km2"
"subhúmedo seco";"271357.80";"km2"
"subhúmedo húmedo";"477953.00";"km2"
"húmedo";"852237.40";"km2"
