"periodo";"áreas_y_tipo_de_tendencia";"superficie";"unidad_de_medida";"porcentaje"
"2016-2017";"positiva (mejoras)";"140769.8";"km2";"5.14"
"2016-2017";"estable";"1524913.4";"km2";"55.66"
"2016-2017";"negativa (degradación)";"1055504.6";"km2";"38.53"
"2016-2017";"Sin dato";"18420.1";"km2";"0.67"
